Mon Jun 17 17:28:13 2024    profile/profile_output

         17990345 function calls (16645117 primitive calls) in 11.685 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    201/1    0.001    0.000   11.685   11.685 {built-in method builtins.exec}
        1    0.000    0.000   11.685   11.685 q:\Project\Celestial-Chess\tests\test_speed:22(profile_mcts)
        1    0.000    0.000   11.685   11.685 q:\Project\Celestial-Chess\ai\mcts.py:107(find_best_move)
        1    0.035    0.035   10.635   10.635 q:\Project\Celestial-Chess\ai\mcts.py:115(MCTS)
    10000    0.310    0.000    6.529    0.001 q:\Project\Celestial-Chess\ai\mcts.py:66(simulate)
    10000    0.056    0.000    4.040    0.000 q:\Project\Celestial-Chess\ai\mcts.py:93(tree_policy)
   134684    0.436    0.000    3.926    0.000 q:\Project\Celestial-Chess\game\chess_game.py:47(update_chessboard)
1230127/30005    1.541    0.000    3.227    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    30120    0.107    0.000    3.018    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
   134684    2.396    0.000    2.752    0.000 q:\Project\Celestial-Chess\game\chess_game.py:68(update_adjacent_cells)
90007/30005    0.336    0.000    2.721    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
    10000    0.050    0.000    2.647    0.000 q:\Project\Celestial-Chess\ai\mcts.py:55(expand)
    10001    0.022    0.000    2.178    0.000 q:\Project\Celestial-Chess\ai\mcts.py:11(__init__)
        2    0.000    0.000    1.403    0.702 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
   134685    0.167    0.000    1.359    0.000 q:\Project\Celestial-Chess\game\chess_game.py:174(get_all_moves)
        2    0.000    0.000    1.340    0.670 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.339    0.670 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.339    0.670 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.339    0.670 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.339    0.669 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
   174668    0.198    0.000    1.118    0.000 q:\Project\Celestial-Chess\game\chess_game.py:236(is_game_over)
   174668    0.215    0.000    0.920    0.000 q:\Project\Celestial-Chess\game\chess_game.py:219(get_board_value)
    19985    0.029    0.000    0.843    0.000 q:\Project\Celestial-Chess\ai\mcts.py:47(get_best_child)
    19985    0.136    0.000    0.793    0.000 q:\Project\Celestial-Chess\ai\mcts.py:49(<listcomp>)
  311/300    0.001    0.000    0.730    0.002 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
        2    0.000    0.000    0.697    0.349 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        2    0.000    0.000    0.697    0.348 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        2    0.000    0.000    0.697    0.348 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        2    0.000    0.000    0.695    0.348 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
