Epoch 4, Batch 1500, Loss: 3.236
Epoch 4, Batch 1600, Loss: 3.242
Epoch 4, Batch 1700, Loss: 3.243
Epoch 4, Batch 1800, Loss: 3.247
Epoch 4, Batch 1900, Loss: 3.240
Epoch 4, Batch 2000, Loss: 3.241
Epoch 4, Batch 2100, Loss: 3.236
Epoch 4, Batch 2200, Loss: 3.241
Epoch 4, Batch 2300, Loss: 3.241
Epoch 4, Batch 2400, Loss: 3.248
Epoch 4, Batch 2500, Loss: 3.239
Epoch 4, Batch 2600, Loss: 3.243
Epoch 4, Batch 2700, Loss: 3.243
Epoch 4, Batch 2800, Loss: 3.238
Epoch 4, Batch 2900, Loss: 3.238
Epoch 4, Batch 3000, Loss: 3.238
Epoch 4, Batch 3100, Loss: 3.248
Epoch 4, Batch 3200, Loss: 3.240
Epoch 4, Batch 3300, Loss: 3.239
Epoch 4, Batch 3400, Loss: 3.250
Epoch 4, Batch 3500, Loss: 3.240
Epoch 4, Batch 3600, Loss: 3.238
Epoch 4, Batch 3700, Loss: 3.245
Epoch 4, Batch 3800, Loss: 3.241
Epoch 4, Batch 3900, Loss: 3.243
Epoch 4, Batch 4000, Loss: 3.243
Epoch 4, Batch 4100, Loss: 3.241
Epoch 4, Batch 4200, Loss: 3.241
Epoch 5, Batch 100, Loss: 3.245
Epoch 5, Batch 200, Loss: 3.242
Epoch 5, Batch 300, Loss: 3.243
Epoch 5, Batch 400, Loss: 3.239
Epoch 5, Batch 500, Loss: 3.239
Epoch 5, Batch 600, Loss: 3.244
Epoch 5, Batch 700, Loss: 3.247
Epoch 5, Batch 800, Loss: 3.247
Epoch 5, Batch 900, Loss: 3.242
Epoch 5, Batch 1000, Loss: 3.240
Epoch 5, Batch 1100, Loss: 3.242
Epoch 5, Batch 1200, Loss: 3.237
Epoch 5, Batch 1300, Loss: 3.241
Epoch 5, Batch 1400, Loss: 3.244
Epoch 5, Batch 1500, Loss: 3.245
Epoch 5, Batch 1600, Loss: 3.243
Epoch 5, Batch 1700, Loss: 3.231
Epoch 5, Batch 1800, Loss: 3.245
Epoch 5, Batch 1900, Loss: 3.242
Epoch 5, Batch 2000, Loss: 3.238
Epoch 5, Batch 2100, Loss: 3.248
Epoch 5, Batch 2200, Loss: 3.246
Epoch 5, Batch 2300, Loss: 3.238
Epoch 5, Batch 2400, Loss: 3.238
Epoch 5, Batch 2500, Loss: 3.242
Epoch 5, Batch 2600, Loss: 3.244
Epoch 5, Batch 2700, Loss: 3.244
Epoch 5, Batch 2800, Loss: 3.241
Epoch 5, Batch 2900, Loss: 3.236
Epoch 5, Batch 3000, Loss: 3.241
Epoch 5, Batch 3100, Loss: 3.245
Epoch 5, Batch 3200, Loss: 3.238
Epoch 5, Batch 3300, Loss: 3.243
Epoch 5, Batch 3400, Loss: 3.244
Epoch 5, Batch 3500, Loss: 3.239
Epoch 5, Batch 3600, Loss: 3.245
Epoch 5, Batch 3700, Loss: 3.243
Epoch 5, Batch 3800, Loss: 3.240
Epoch 5, Batch 3900, Loss: 3.247
