Tue Jun 18 20:50:28 2024    profile/profile_output

         21798082 function calls (21547188 primitive calls) in 17.608 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.609   17.609 {built-in method builtins.exec}
        1    0.000    0.000   17.608   17.608 <string>:1(<module>)
        1    0.000    0.000   17.608   17.608 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   17.608   17.608 g:\Project\Celestial-Chess\ai\mcts.py:112(find_best_move)
        1    0.097    0.097   17.608   17.608 g:\Project\Celestial-Chess\ai\mcts.py:120(MCTS)
    50000    1.490    0.000   11.625    0.000 g:\Project\Celestial-Chess\ai\mcts.py:67(simulate)
   596207    1.487    0.000    6.495    0.000 g:\Project\Celestial-Chess\game\chess_game.py:49(update_chessboard)
    50000    0.205    0.000    5.748    0.000 g:\Project\Celestial-Chess\ai\mcts.py:95(tree_policy)
    50000    0.268    0.000    2.609    0.000 g:\Project\Celestial-Chess\ai\mcts.py:51(expand)
   139361    0.332    0.000    2.593    0.000 g:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
   596207    0.997    0.000    2.500    0.000 g:\Project\Celestial-Chess\game\chess_game.py:69(update_adjacent_cells)
   596207    0.954    0.000    1.416    0.000 g:\Project\Celestial-Chess\game\chess_game.py:73(mark_black_holes)
   139361    0.764    0.000    1.370    0.000 g:\Project\Celestial-Chess\ai\mcts.py:46(<listcomp>)
   596208    0.608    0.000    1.333    0.000 g:\Project\Celestial-Chess\game\chess_game.py:123(get_all_moves)
    50000    0.073    0.000    1.305    0.000 g:\Project\Celestial-Chess\game\chess_game.py:175(who_is_winner)
   748712    0.292    0.000    1.297    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   696208    0.359    0.000    1.293    0.000 <__array_function__ internals>:177(copy)
   100001    0.148    0.000    1.286    0.000 g:\Project\Celestial-Chess\game\chess_game.py:39(copy)
    50000    0.303    0.000    1.169    0.000 g:\Project\Celestial-Chess\game\chess_game.py:108(get_score)
   835569    1.084    0.000    1.084    0.000 {built-in method numpy.array}
   835567    0.679    0.000    0.997    0.000 g:\Project\Celestial-Chess\game\chess_game.py:168(is_game_over)
   100001    0.336    0.000    0.937    0.000 g:\Project\Celestial-Chess\game\chess_game.py:12(__init__)
   596207    0.763    0.000    0.927    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:24(update_by_bfs)
    50000    0.206    0.000    0.865    0.000 {built-in method builtins.sum}
   546207    0.294    0.000    0.795    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:375(choice)
        2    0.000    0.000    0.773    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.000    0.000    0.772    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    0.771    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    0.771    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    0.771    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    0.771    0.386 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    0.770    0.385 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        2    0.000    0.000    0.768    0.384 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        2    0.000    0.000    0.768    0.384 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        2    0.000    0.000    0.767    0.384 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    82/54    0.000    0.000    0.767    0.014 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       52    0.001    0.000    0.766    0.015 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
      156    0.000    0.000    0.744    0.005 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
   596208    0.562    0.000    0.726    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:9(get_zero_index)
  1172537    0.659    0.000    0.659    0.000 g:\Project\Celestial-Chess\game\chess_game.py:110(<genexpr>)
  3011646    0.606    0.000    0.606    0.000 g:\Project\Celestial-Chess\ai\mcts.py:31(get_win_rate)
   696208    0.156    0.000    0.606    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:871(copy)
   300003    0.562    0.000    0.562    0.000 {built-in method numpy.zeros}
    50000    0.046    0.000    0.488    0.000 <__array_function__ internals>:177(delete)
   596207    0.462    0.000    0.462    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:58(mark_and_expand_over_threshold)
   546207    0.322    0.000    0.436    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:239(_randbelow_with_getrandbits)
    50000    0.333    0.000    0.399    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:5054(delete)
        2    0.000    0.000    0.397    0.199 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
  1192415    0.327    0.000    0.327    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
   835567    0.318    0.000    0.318    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:5(optimized_not_exist_zero_index)
        2    0.000    0.000    0.221    0.110 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:182(lower)
        2    0.000    0.000    0.204    0.102 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        2    0.000    0.000    0.204    0.102 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
        2    0.000    0.000    0.186    0.093 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        8    0.002    0.000    0.186    0.023 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
    50001    0.046    0.000    0.182    0.000 g:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
        2    0.000    0.000    0.172    0.086 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
        2    0.000    0.000    0.170    0.085 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
       20    0.001    0.000    0.169    0.008 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
      431    0.002    0.000    0.164    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
     1719    0.127    0.000    0.146    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
