Tue Jun 18 14:37:12 2024    profile/profile_output

         12306870 function calls (11081399 primitive calls) in 6.146 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.225    0.112 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
       20    0.001    0.000    0.224    0.011 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
      421    0.002    0.000    0.218    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
    10000    0.052    0.000    0.214    0.000 {built-in method builtins.sum}
  2107972    0.203    0.000    0.206    0.000 {method 'get' of 'dict' objects}
     1698    0.169    0.000    0.194    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
     1140    0.007    0.000    0.191    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\winterm.py:178(enable_vt_processing)
      404    0.001    0.000    0.166    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:374(resolve_value_type)
   239747    0.162    0.000    0.162    0.000 q:\Project\Celestial-Chess\game\chess_game.py:90(<genexpr>)
      413    0.002    0.000    0.162    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\typeof.py:27(typeof)
  1802557    0.152    0.000    0.152    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.150    0.075 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\cpu.py:225(get_executable)
        2    0.000    0.000    0.150    0.075 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
     12/8    0.000    0.000    0.150    0.019 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
        2    0.000    0.000    0.150    0.075 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:739(finalize)
      200    0.001    0.000    0.145    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:536(__init__)
      189    0.001    0.000    0.145    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
       93    0.001    0.000    0.140    0.002 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
      160    0.001    0.000    0.134    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:704(__call__)
   131805    0.133    0.000    0.133    0.000 {built-in method numpy.array}
      295    0.007    0.000    0.125    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\types\functions.py:281(get_call_type)
     2280    0.010    0.000    0.117    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:114(winapi_test)
      661    0.002    0.000    0.117    0.000 q:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
      225    0.002    0.000    0.114    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:585(resolve)
4880/4865    0.003    0.000    0.113    0.000 {built-in method builtins.any}
      310    0.000    0.000    0.108    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
   148862    0.106    0.000    0.106    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     4560    0.003    0.000    0.105    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:115(<genexpr>)
      225    0.000    0.000    0.105    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1539(resolve_call)
      310    0.001    0.000    0.104    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
     2280    0.102    0.000    0.103    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:108(_winapi_test)
        6    0.000    0.000    0.094    0.016 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:723(add_ir_module)
     2280    0.088    0.000    0.088    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:170(GetConsoleMode)
        2    0.000    0.000    0.083    0.041 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
469649/469574    0.066    0.000    0.081    0.000 {built-in method builtins.getattr}
134480/10000    0.081    0.000    0.081    0.000 q:\Project\Celestial-Chess\ai\mcts.py:86(backpropagate)
       23    0.001    0.000    0.081    0.004 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:726(lower_binop)
        4    0.001    0.000    0.076    0.019 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
      155    0.000    0.000    0.072    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1493(resolve_value_type)
     1491    0.003    0.000    0.072    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\templates.py:348(apply)
