Tue Jun 18 20:01:55 2024    profile/profile_output

         30204860 function calls (28853944 primitive calls) in 21.953 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.954   21.954 {built-in method builtins.exec}
        1    0.000    0.000   21.954   21.954 <string>:1(<module>)
        1    0.000    0.000   21.954   21.954 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   21.954   21.954 g:\Project\Celestial-Chess\ai\mcts.py:111(find_best_move)
        1    0.105    0.105   21.954   21.954 g:\Project\Celestial-Chess\ai\mcts.py:119(MCTS)
    50000    1.725    0.000   12.761    0.000 g:\Project\Celestial-Chess\ai\mcts.py:67(simulate)
    50000    0.232    0.000    8.944    0.000 g:\Project\Celestial-Chess\ai\mcts.py:94(tree_policy)
   596830    1.534    0.000    6.792    0.000 g:\Project\Celestial-Chess\game\chess_game.py:47(update_chessboard)
    50000    0.286    0.000    5.669    0.000 g:\Project\Celestial-Chess\ai\mcts.py:51(expand)
    50001    0.094    0.000    3.252    0.000 g:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
1150023/50001    1.232    0.000    2.973    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:128(deepcopy)
   596830    1.020    0.000    2.711    0.000 g:\Project\Celestial-Chess\game\chess_game.py:66(update_adjacent_cells)
   139361    0.340    0.000    2.698    0.000 g:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
    50041    0.173    0.000    2.645    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:259(_reconstruct)
    50001    0.273    0.000    2.183    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:227(_deepcopy_dict)
    50000    0.083    0.000    1.741    0.000 g:\Project\Celestial-Chess\game\chess_game.py:38(copy)
    50000    0.608    0.000    1.549    0.000 g:\Project\Celestial-Chess\game\chess_game.py:12(__init__)
   596830    0.961    0.000    1.414    0.000 g:\Project\Celestial-Chess\game\chess_game.py:70(mark_black_holes)
   749334    0.303    0.000    1.378    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   596831    0.634    0.000    1.375    0.000 g:\Project\Celestial-Chess\game\chess_game.py:117(get_all_moves)
   696830    0.376    0.000    1.355    0.000 <__array_function__ internals>:177(copy)
   139361    0.766    0.000    1.334    0.000 g:\Project\Celestial-Chess\ai\mcts.py:46(<listcomp>)
   836191    1.119    0.000    1.119    0.000 {built-in method numpy.array}
    50000    0.081    0.000    1.074    0.000 g:\Project\Celestial-Chess\game\chess_game.py:169(who_is_winner)
        2    0.000    0.000    1.070    0.535 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.000    0.000    1.069    0.535 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.068    0.534 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.068    0.534 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.068    0.534 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.067    0.534 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    1.066    0.533 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
