Tue Jun 18 09:54:59 2024    profile/profile_output

         15176872 function calls (13842174 primitive calls) in 10.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.197   10.197 {built-in method builtins.exec}
        1    0.000    0.000   10.197   10.197 <string>:1(<module>)
        1    0.000    0.000   10.197   10.197 q:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   10.197   10.197 q:\Project\Celestial-Chess\ai\mcts.py:112(find_best_move)
        1    0.041    0.041   10.197   10.197 q:\Project\Celestial-Chess\ai\mcts.py:120(MCTS)
    10000    0.063    0.000    5.088    0.001 q:\Project\Celestial-Chess\ai\mcts.py:98(tree_policy)
    10000    0.438    0.000    5.033    0.001 q:\Project\Celestial-Chess\ai\mcts.py:71(simulate)
    10000    0.091    0.000    4.041    0.000 q:\Project\Celestial-Chess\ai\mcts.py:56(expand)
1229017/30001    1.720    0.000    3.897    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    30030    0.117    0.000    3.674    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
90003/30001    0.350    0.000    3.354    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
   127823    0.426    0.000    3.248    0.000 q:\Project\Celestial-Chess\game\chess_game.py:31(update_chessboard)
   127823    0.324    0.000    1.520    0.000 q:\Project\Celestial-Chess\game\chess_game.py:50(update_adjacent_cells)
    10001    0.027    0.000    1.486    0.000 q:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
   109833    0.196    0.000    1.147    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
   127823    0.900    0.000    1.065    0.000 q:\Project\Celestial-Chess\game\chess_game.py:54(mark_black_holes)
   109833    0.082    0.000    0.941    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:211(<listcomp>)
        1    0.000    0.000    0.923    0.923 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     21/1    0.000    0.000    0.922    0.922 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        1    0.000    0.000    0.922    0.922 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        1    0.000    0.000    0.922    0.922 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        1    0.000    0.000    0.922    0.922 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        1    0.000    0.000    0.921    0.921 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        1    0.000    0.000    0.920    0.920 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        1    0.000    0.000    0.919    0.919 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        1    0.000    0.000    0.919    0.919 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        1    0.000    0.000    0.918    0.918 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    48/27    0.000    0.000    0.918    0.034 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       26    0.001    0.000    0.917    0.035 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
    19945    0.031    0.000    0.902    0.000 q:\Project\Celestial-Chess\ai\mcts.py:48(get_best_child)
       78    0.000    0.000    0.900    0.012 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
    19945    0.148    0.000    0.847    0.000 q:\Project\Celestial-Chess\ai\mcts.py:50(<listcomp>)
   458401    0.403    0.000    0.698    0.000 q:\Project\Celestial-Chess\ai\mcts.py:39(UCB1)
   127824    0.193    0.000    0.432    0.000 q:\Project\Celestial-Chess\game\chess_game.py:131(get_all_moves)
        1    0.000    0.000    0.409    0.409 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
   499334    0.287    0.000    0.385    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:243(_keep_alive)
        1    0.000    0.000    0.312    0.312 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        1    0.000    0.000    0.312    0.312 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
   167767    0.208    0.000    0.296    0.000 q:\Project\Celestial-Chess\game\chess_game.py:193(is_game_over)
    10000    0.020    0.000    0.289    0.000 q:\Project\Celestial-Chess\game\chess_game.py:200(who_is_winner)
        1    0.000    0.000    0.288    0.288 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        5    0.002    0.000    0.287    0.057 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
   159664    0.274    0.000    0.274    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   127823    0.219    0.000    0.274    0.000 q:\Project\Celestial-Chess\tools\tools_func.py:24(update_by_bfs)
   117823    0.096    0.000    0.267    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\random.py:375(choice)
      477    0.003    0.000    0.265    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:320(_markup)
  2517840    0.256    0.000    0.260    0.000 {method 'get' of 'dict' objects}
      477    0.001    0.000    0.258    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:243(__init__)
      477    0.001    0.000    0.258    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:37(init)
      954    0.002    0.000    0.256    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
      954    0.008    0.000    0.254    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
        1    0.000    0.000    0.251    0.251 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:182(lower)
    10000    0.018    0.000    0.250    0.000 q:\Project\Celestial-Chess\game\chess_game.py:116(get_score)
   127824    0.182    0.000    0.239    0.000 q:\Project\Celestial-Chess\tools\tools_func.py:9(get_zero_index)
      417    0.000    0.000    0.235    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:335(errmsg)
    10000    0.056    0.000    0.224    0.000 {built-in method builtins.sum}
   127823    0.043    0.000    0.218    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numpy\lib\function_base.py:873(copy)
        1    0.000    0.000    0.206    0.206 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
