Mon Jun 17 19:37:27 2024    profile/profile_output

         14950528 function calls (13567097 primitive calls) in 7.207 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   118583    0.064    0.000    0.193    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:375(choice)
  2524004    0.188    0.000    0.193    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.182    0.061 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        3    0.000    0.000    0.182    0.061 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cpu.py:225(get_executable)
       12    0.002    0.000    0.182    0.015 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
        3    0.000    0.000    0.182    0.061 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
     13/8    0.000    0.000    0.181    0.023 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
        3    0.000    0.000    0.181    0.060 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:739(finalize)
   260682    0.124    0.000    0.166    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:243(_keep_alive)
      212    0.001    0.000    0.163    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
        6    0.000    0.000    0.163    0.027 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:723(add_ir_module)
      509    0.003    0.000    0.156    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:320(_markup)
      108    0.001    0.000    0.155    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
