Tue Jun 18 16:27:09 2024    profile/profile_output

         71528860 function calls (64271158 primitive calls) in 42.203 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   42.204   42.204 {built-in method builtins.exec}
        1    0.000    0.000   42.203   42.203 <string>:1(<module>)
        1    0.000    0.000   42.203   42.203 q:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   42.203   42.203 q:\Project\Celestial-Chess\ai\mcts.py:115(find_best_move)
        1    0.192    0.192   42.203   42.203 q:\Project\Celestial-Chess\ai\mcts.py:123(MCTS)
    50000    0.333    0.000   21.151    0.000 q:\Project\Celestial-Chess\ai\mcts.py:97(tree_policy)
6858505/150001    9.685    0.000   21.047    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    50000    1.884    0.000   20.673    0.000 q:\Project\Celestial-Chess\ai\mcts.py:70(simulate)
   150041    0.563    0.000   19.995    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
450003/150001    1.821    0.000   18.464    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
    50000    0.417    0.000   17.027    0.000 q:\Project\Celestial-Chess\ai\mcts.py:53(expand)
   595700    1.867    0.000    8.079    0.000 q:\Project\Celestial-Chess\game\chess_game.py:33(update_chessboard)
    50001    0.125    0.000    7.474    0.000 q:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
   668081    1.170    0.000    6.763    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
   668081    0.473    0.000    5.539    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:211(<listcomp>)
   595700    1.403    0.000    3.423    0.000 q:\Project\Celestial-Chess\game\chess_game.py:52(update_adjacent_cells)
   139361    0.535    0.000    3.330    0.000 q:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
