Tue Jun 18 10:49:10 2024    profile/profile_output

         15046215 function calls (13712939 primitive calls) in 9.231 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.232    9.232 {built-in method builtins.exec}
        1    0.000    0.000    9.232    9.232 <string>:1(<module>)
        1    0.000    0.000    9.232    9.232 q:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000    9.232    9.232 q:\Project\Celestial-Chess\ai\mcts.py:112(find_best_move)
        1    0.040    0.040    9.232    9.232 q:\Project\Celestial-Chess\ai\mcts.py:120(MCTS)
    10000    0.060    0.000    4.872    0.000 q:\Project\Celestial-Chess\ai\mcts.py:98(tree_policy)
    10000    0.410    0.000    4.286    0.000 q:\Project\Celestial-Chess\ai\mcts.py:71(simulate)
    10000    0.086    0.000    3.869    0.000 q:\Project\Celestial-Chess\ai\mcts.py:56(expand)
1228477/30001    1.747    0.000    3.765    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    30030    0.112    0.000    3.554    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
90003/30001    0.337    0.000    3.246    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
   127838    0.403    0.000    2.557    0.000 q:\Project\Celestial-Chess\game\chess_game.py:33(update_chessboard)
   127838    0.309    0.000    1.551    0.000 q:\Project\Celestial-Chess\game\chess_game.py:52(update_adjacent_cells)
    10001    0.026    0.000    1.356    0.000 q:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
   109743    0.191    0.000    1.123    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
        1    0.000    0.000    0.982    0.982 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     21/1    0.000    0.000    0.981    0.981 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        1    0.000    0.000    0.981    0.981 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        1    0.000    0.000    0.981    0.981 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        1    0.000    0.000    0.981    0.981 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        1    0.000    0.000    0.981    0.981 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        1    0.000    0.000    0.980    0.980 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        1    0.000    0.000    0.979    0.979 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        1    0.000    0.000    0.979    0.979 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        1    0.000    0.000    0.978    0.978 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    48/27    0.000    0.000    0.978    0.036 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       26    0.001    0.000    0.977    0.038 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
