Tue Jun 18 19:26:38 2024    profile/profile_output

         36046864 function calls (33795950 primitive calls) in 22.791 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   22.792   22.792 {built-in method builtins.exec}
        1    0.000    0.000   22.792   22.792 <string>:1(<module>)
        1    0.000    0.000   22.792   22.792 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   22.792   22.792 g:\Project\Celestial-Chess\ai\mcts.py:111(find_best_move)
        1    0.102    0.102   22.792   22.792 g:\Project\Celestial-Chess\ai\mcts.py:119(MCTS)
    50000    1.684    0.000   14.069    0.000 g:\Project\Celestial-Chess\ai\mcts.py:67(simulate)
    50000    0.241    0.000    8.478    0.000 g:\Project\Celestial-Chess\ai\mcts.py:94(tree_policy)
   596432    1.526    0.000    6.870    0.000 g:\Project\Celestial-Chess\game\chess_game.py:38(update_chessboard)
2100021/100001    2.181    0.000    5.436    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:128(deepcopy)
    50000    0.278    0.000    5.256    0.000 g:\Project\Celestial-Chess\ai\mcts.py:51(expand)
   100041    0.306    0.000    4.872    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:259(_reconstruct)
   100001    0.462    0.000    4.045    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:227(_deepcopy_dict)
    50001    0.090    0.000    2.832    0.000 g:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
   596432    1.029    0.000    2.744    0.000 g:\Project\Celestial-Chess\game\chess_game.py:57(update_adjacent_cells)
   139361    0.341    0.000    2.638    0.000 g:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
   596432    0.961    0.000    1.431    0.000 g:\Project\Celestial-Chess\game\chess_game.py:61(mark_black_holes)
   596433    0.661    0.000    1.428    0.000 g:\Project\Celestial-Chess\game\chess_game.py:108(get_all_moves)
   139361    0.775    0.000    1.338    0.000 g:\Project\Celestial-Chess\ai\mcts.py:46(<listcomp>)
   698936    0.289    0.000    1.320    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   646432    0.361    0.000    1.281    0.000 <__array_function__ internals>:177(copy)
    50000    0.085    0.000    1.127    0.000 g:\Project\Celestial-Chess\game\chess_game.py:160(who_is_winner)
   785793    1.091    0.000    1.091    0.000 {built-in method numpy.array}
        2    0.000    0.000    1.044    0.522 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.000    0.000    1.043    0.521 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.042    0.521 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.042    0.521 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.042    0.521 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.042    0.521 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    1.040    0.520 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
