Tue Jun 18 16:36:05 2024    profile/profile_output

         56290396 function calls (51168854 primitive calls) in 36.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1192213    0.498    0.000    0.498    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
   578722    0.490    0.000    0.490    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
   835466    0.398    0.000    0.398    0.000 q:\Project\Celestial-Chess\tools\tools_func.py:5(optimized_not_exist_zero_index)
        2    0.000    0.000    0.316    0.158 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        2    0.000    0.000    0.316    0.158 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
      577    0.004    0.000    0.293    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:320(_markup)
      577    0.001    0.000    0.286    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:243(__init__)
      577    0.002    0.000    0.285    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:37(init)
     1154    0.003    0.000    0.283    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
        2    0.000    0.000    0.283    0.141 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        8    0.003    0.000    0.282    0.035 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
        2    0.000    0.000    0.281    0.140 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:182(lower)
     1154    0.009    0.000    0.280    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
      505    0.000    0.000    0.259    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:335(errmsg)
1580793/1580717    0.243    0.000    0.258    0.000 {built-in method builtins.getattr}
   200002    0.068    0.000    0.254    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:264(<genexpr>)
        2    0.000    0.000    0.226    0.113 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
        2    0.000    0.000    0.223    0.112 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
       20    0.001    0.000    0.223    0.011 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
      425    0.002    0.000    0.217    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
  2557458    0.214    0.000    0.214    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:182(_deepcopy_atomic)
  2087902    0.199    0.000    0.199    0.000 {method 'append' of 'list' objects}
     1154    0.007    0.000    0.196    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\winterm.py:178(enable_vt_processing)
     1705    0.167    0.000    0.194    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
   646107    0.186    0.000    0.186    0.000 q:\Project\Celestial-Chess\game\chess_game.py:152(get_color)
239360/50000    0.185    0.000    0.185    0.000 q:\Project\Celestial-Chess\ai\mcts.py:89(backpropagate)
    50000    0.092    0.000    0.180    0.000 q:\Project\Celestial-Chess\game\chess_game.py:60(undo)
      406    0.001    0.000    0.175    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:374(resolve_value_type)
      416    0.002    0.000    0.171    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\typeof.py:27(typeof)
   139361    0.170    0.000    0.170    0.000 q:\Project\Celestial-Chess\ai\mcts.py:47(<listcomp>)
        2    0.000    0.000    0.156    0.078 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\cpu.py:225(get_executable)
        2    0.000    0.000    0.156    0.078 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
     12/8    0.000    0.000    0.155    0.019 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
        2    0.000    0.000    0.155    0.078 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:739(finalize)
  1445232    0.153    0.000    0.154    0.000 {built-in method builtins.issubclass}
      191    0.001    0.000    0.148    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
      163    0.001    0.000    0.147    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:704(__call__)
       94    0.001    0.000    0.143    0.002 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
      205    0.001    0.000    0.139    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:536(__init__)
      299    0.008    0.000    0.136    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\types\functions.py:281(get_call_type)
      228    0.002    0.000    0.126    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:585(resolve)
   189360    0.082    0.000    0.121    0.000 q:\Project\Celestial-Chess\ai\mcts.py:27(is_fully_expanded)
      313    0.000    0.000    0.119    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
   100041    0.118    0.000    0.118    0.000 {method '__reduce_ex__' of 'object' objects}
      228    0.000    0.000    0.116    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1539(resolve_call)
     2308    0.011    0.000    0.115    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:114(winapi_test)
      313    0.001    0.000    0.115    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
759099/758106    0.113    0.000    0.113    0.000 {built-in method builtins.len}
4924/4909    0.004    0.000    0.111    0.000 {built-in method builtins.any}
     4616    0.003    0.000    0.103    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:115(<genexpr>)
     2308    0.099    0.000    0.100    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:108(_winapi_test)
   560110    0.087    0.000    0.098    0.000 {built-in method builtins.isinstance}
   903932    0.097    0.000    0.097    0.000 {method 'getrandbits' of '_random.Random' objects}
        6    0.000    0.000    0.091    0.015 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:723(add_ir_module)
     2308    0.090    0.000    0.091    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\win32.py:170(GetConsoleMode)
   646106    0.090    0.000    0.090    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numpy\lib\function_base.py:869(_copy_dispatcher)
        2    0.000    0.000    0.090    0.045 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
   139361    0.087    0.000    0.087    0.000 q:\Project\Celestial-Chess\tools\mcts_func.py:5(get_best_child_and_ucb)
       23    0.001    0.000    0.081    0.004 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:726(lower_binop)
   100041    0.054    0.000    0.079    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copyreg.py:100(__newobj__)
     1511    0.003    0.000    0.077    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\templates.py:348(apply)
      155    0.000    0.000    0.076    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typeinfer.py:1493(resolve_value_type)
        4    0.001    0.000    0.076    0.019 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
        2    0.000    0.000    0.073    0.037 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:996(_finalize_specific)
        6    0.000    0.000    0.067    0.011 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:1058(wrapper)
        2    0.000    0.000    0.067    0.033 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
        2    0.000    0.000    0.063    0.032 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\untyped_passes.py:244(run_pass)
        2    0.000    0.000    0.063    0.031 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        4    0.000    0.000    0.063    0.016 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\llvmlite\binding\passmanagers.py:681(run)
